scenario,seed,window_id,window_start,window_end,target_packets,target_received,background_packets,loss_rate,target_rate,background_rate,mean_delay,p95_delay,p99_delay,received_violation_prob,violation_prob
load_high,13,10,105.0,115.0,1882,1882,120,0.0,188.2,12.0,0.0023039482678002122,0.004415831999999994,0.0056807461,0.0,0.0
load_high,13,11,115.0,125.0,952,952,58,0.0,95.2,5.8,0.0022281814810924372,0.0040090709999999995,0.005260930400000001,0.0,0.0
load_high,17,0,5.0,15.0,1834,1833,118,0.0005452562704471031,183.4,11.8,0.0022792373267866884,0.004215619999999998,0.0060671600000000055,0.0016366612111292963,0.0021810250817884407
load_high,17,1,15.0,25.0,1815,1815,121,0.0,181.5,12.1,0.0022700051074380162,0.0043613969999999995,0.0061127575999999975,0.0005509641873278236,0.0005509641873278236
load_high,17,2,25.0,35.0,1812,1812,118,0.0,181.2,11.8,0.0022533936754966888,0.004218847499999998,0.006109663999999995,0.0,0.0
load_high,17,3,35.0,45.0,1887,1887,118,0.0,188.7,11.8,0.00220367079491256,0.003983130999999999,0.005366013999999989,0.0,0.0
load_high,17,4,45.0,55.0,1819,1819,120,0.0,181.9,12.0,0.0022507588565145687,0.004180130999999999,0.005544870599999998,0.0,0.0
load_high,17,5,55.0,65.0,1976,1976,118,0.0,197.6,11.8,0.002311700910931174,0.00451466,0.005940322499999999,0.0,0.0
load_high,17,6,65.0,75.0,1930,1930,121,0.0,193.0,12.1,0.0023598662901554404,0.0046909824999999995,0.0065009613,0.0005181347150259067,0.0005181347150259067
load_high,17,7,75.0,85.0,1893,1893,118,0.0,189.3,11.8,0.0023540572213417853,0.00468193,0.006276748799999996,0.0,0.0
load_high,17,8,85.0,95.0,1852,1852,120,0.0,185.2,12.0,0.0023058949028077758,0.0046317264999999955,0.0063730961,0.0,0.0
load_high,17,9,95.0,105.0,1820,1820,118,0.0,182.0,11.8,0.0023393392252747253,0.004623063499999998,0.006191705699999999,0.0,0.0
