seed,scenario,variant,variant_label,delay_mae,risk_mae,coverage,auroc,recall_at_10
17,overall,c_v_0x,$c_v$ 0x,0.015415988150518006,0.05267079095910121,0.96,0.8643555555555555,0.4
17,load_high,c_v_0x,$c_v$ 0x,0.13940486492871232,0.5047809669663059,0.632,0.7555555555555555,0.2
17,vacation_high,c_v_0x,$c_v$ 0x,0.04876747945780604,0.1770203412444921,0.908,0.8606222222222222,0.44
17,drift_strong,c_v_0x,$c_v$ 0x,0.704098580094379,1.4144757398384329,0.664,0.8131555555555555,0.48
17,overall,c_v_0.5x,$c_v$ 0.5x,0.015443954126927433,0.052584043604846406,0.96,0.8641777777777778,0.4
17,load_high,c_v_0.5x,$c_v$ 0.5x,0.13922737868414994,0.5043760247020213,0.636,0.7555555555555555,0.2
17,vacation_high,c_v_0.5x,$c_v$ 0.5x,0.048442693752844226,0.17643017328749772,0.908,0.8606222222222222,0.44
17,drift_strong,c_v_0.5x,$c_v$ 0.5x,0.7038904233717745,1.4140036224370183,0.668,0.8126222222222222,0.48
17,overall,c_v_1.5x,$c_v$ 1.5x,0.015512861505567242,0.0524179711637762,0.96,0.864,0.4
17,load_high,c_v_1.5x,$c_v$ 1.5x,0.13887336770301587,0.5035823857170403,0.636,0.7557333333333334,0.2
17,vacation_high,c_v_1.5x,$c_v$ 1.5x,0.047798278132752954,0.1753135342852443,0.908,0.8611555555555556,0.44
17,drift_strong,c_v_1.5x,$c_v$ 1.5x,0.7034798249620686,1.4100573052149319,0.668,0.8136888888888889,0.48
17,overall,c_v_2x,$c_v$ 2x,0.015553533737481268,0.05234271267268443,0.96,0.864,0.4
17,load_high,c_v_2x,$c_v$ 2x,0.13869797657147673,0.5031885277807342,0.64,0.7555555555555555,0.2
17,vacation_high,c_v_2x,$c_v$ 2x,0.04747732752170394,0.1747532674414191,0.908,0.8613333333333333,0.44
17,drift_strong,c_v_2x,$c_v$ 2x,0.7032777724212382,1.4095762385216588,0.672,0.8136888888888889,0.48
17,overall,c_u_0x,$c_u$ 0x,0.015351928249251792,0.05262426599103546,0.96,0.8643555555555555,0.4
17,load_high,c_u_0x,$c_u$ 0x,0.13961951917832233,0.5053760627333889,0.632,0.7557333333333334,0.2
17,vacation_high,c_u_0x,$c_u$ 0x,0.04881719011478369,0.17718843262992498,0.9,0.8608,0.44
17,drift_strong,c_u_0x,$c_u$ 0x,0.7042040377422968,1.4146481238010522,0.664,0.8129777777777778,0.48
17,overall,c_u_0.5x,$c_u$ 0.5x,0.015411321438081478,0.05256153677186101,0.96,0.8643555555555555,0.4
17,load_high,c_u_0.5x,$c_u$ 0.5x,0.13933470580895496,0.5046735167437311,0.632,0.7559111111111111,0.2
17,vacation_high,c_u_0.5x,$c_u$ 0.5x,0.048467129888549954,0.1765112988056209,0.908,0.8608,0.44
17,drift_strong,c_u_0.5x,$c_u$ 0.5x,0.7039436093168331,1.414089989838161,0.664,0.8128,0.48
17,overall,c_u_1.5x,$c_u$ 1.5x,0.015547695933008171,0.05244340444903441,0.96,0.864,0.4
17,load_high,c_u_1.5x,$c_u$ 1.5x,0.13876900188115449,0.5032923290401232,0.64,0.7559111111111111,0.2
17,vacation_high,c_u_1.5x,$c_u$ 1.5x,0.04777384199704722,0.17526216682686452,0.908,0.8608,0.44
