seed,policy,n,target_violation_reduction,p95_delay_reduction,trigger_rate,background_cost,false_alarm_cost,base_violation,controlled_violation,base_p95,controlled_p95
31,direct_risk_trigger,2070,0.13152949927868185,0.07288536588236795,0.22995169082125605,0.027594202898550725,0.1642512077294686,0.07646721630170414,0.06640952163030633,0.44194999140927377,0.4097383045836995
31,ewma_persistence_trigger,2070,0.07921714675735554,0.0466540962301126,0.22608695652173913,0.027130434782608695,0.19806763285024154,0.07646721630170414,0.07040970160580559,0.44194999140927377,0.4213312139811681
31,static_utilization_trigger,2070,0.12384342542314955,0.07487519883064693,0.2323671497584541,0.02788405797101449,0.17922705314009663,0.07646721630170414,0.0669972543023282,0.44194999140927377,0.4088588979293017
31,random_trigger,2070,0.05894093369225545,0.033981364788710985,0.2251207729468599,0.027014492753623186,0.20434782608695654,0.07646721630170414,0.07196016717603404,0.44194999140927377,0.42693192753282755
37,proposed_safe_trigger,2070,0.16624012984168693,0.09329504160920198,0.23333333333333334,0.028,0.15893719806763285,0.06878262877092647,0.057348195633195105,0.4600137681342592,0.4170967644953677
37,direct_risk_trigger,2070,0.14683675432931848,0.0856195265831548,0.22367149758454105,0.026840579710144925,0.15217391304347827,0.06878262877092647,0.05868281080796523,0.4600137681342592,0.4206276070848708
37,ewma_persistence_trigger,2070,0.0607912377363683,0.03820148794896398,0.23091787439613526,0.02771014492753623,0.2111111111111111,0.06878262877092647,0.06460124763318072,0.4600137681342592,0.4424405577145208
37,static_utilization_trigger,2070,0.14967973237324095,0.09493212267128578,0.23429951690821257,0.028115942028985506,0.178743961352657,0.06878262877092647,0.05848726330456622,0.4600137681342592,0.4163436846672573
37,random_trigger,2070,0.04806612097485102,0.025081858954591245,0.22270531400966184,0.02672463768115942,0.2028985507246377,0.06878262877092647,0.06547651461545485,0.4600137681342592,0.4484757676847457
41,proposed_safe_trigger,2070,0.14145084102068575,0.07816939927827958,0.23043478260869565,0.027652173913043476,0.16328502415458937,0.07499398602204825,0.06438602362773597,0.4702460399498925,0.43348718949401954
41,direct_risk_trigger,2070,0.1445834576095118,0.07737481910216475,0.23623188405797102,0.02834782608695652,0.16956521739130434,0.07499398602204825,0.06415109622306112,0.4702460399498925,0.43386083767526024
41,ewma_persistence_trigger,2070,0.06388901452670674,0.04067608479581617,0.24347826086956523,0.029217391304347827,0.21932367149758455,0.07499398602204825,0.07020269415966997,0.4702460399498925,0.4511182721539939
41,static_utilization_trigger,2070,0.12631030111150923,0.08035645246994093,0.2318840579710145,0.02782608695652174,0.18164251207729468,0.07499398602204825,0.06552147306605102,0.4702460399498925,0.432458736391481
41,random_trigger,2070,0.049662567513092976,0.03506024936336097,0.22946859903381642,0.02753623188405797,0.2111111111111111,0.07499398602204825,0.07126959212815233,0.4702460399498925,0.45375909652711627
43,proposed_safe_trigger,2070,0.1507282466400187,0.08664600639553988,0.22318840579710145,0.026782608695652174,0.15603864734299516,0.07378767337860814,0.06266578674660415,0.43852869825601837,0.4005319378622996
43,direct_risk_trigger,2070,0.15232326339995428,0.08212211307227509,0.22753623188405797,0.027304347826086955,0.15893719806763285,0.07378767337860814,0.06254809417088862,0.43852869825601837,0.4025157949124
43,ewma_persistence_trigger,2070,0.05669501647423483,0.031918901529566696,0.23333333333333334,0.028,0.2140096618357488,0.07378767337860814,0.0696042800208125,0.43852869825601837,0.42453134391849545
43,static_utilization_trigger,2070,0.14377850015386073,0.08183694870764531,0.2217391304347826,0.02660869565217391,0.16570048309178745,0.07378767337860814,0.0631785923703889,0.43852869825601837,0.4026408476700101
43,random_trigger,2070,0.05958844580641581,0.035526527074198413,0.23333333333333334,0.028,0.21014492753623187,0.07378767337860814,0.06939078060230544,0.43852869825601837,0.42294929658461294
47,proposed_safe_trigger,2070,0.17768485237804157,0.09814005889494556,0.2314009661835749,0.027768115942028986,0.15990338164251208,0.0741115195951295,0.06094302517635658,0.4476805874222757,0.4037451882065297
47,direct_risk_trigger,2070,0.15707431119146173,0.08409392450005929,0.22946859903381642,0.02753623188405797,0.16231884057971013,0.0741115195951295,0.06247050370337202,0.4476805874222757,0.41003336990344463
47,ewma_persistence_trigger,2070,0.06390597559175999,0.03959358357855049,0.23478260869565218,0.02817391304347826,0.20676328502415459,0.0741115195951295,0.06937535063281491,0.4476805874222757,0.4299553086676772
47,static_utilization_trigger,2070,0.14954181697954938,0.08227858850935561,0.2246376811594203,0.026956521739130435,0.16859903381642513,0.0741115195951295,0.06302874829575836,0.4476805874222757,0.41084606058613166
47,random_trigger,2070,0.06914727020473962,0.038322046392300385,0.22946859903381642,0.02753623188405797,0.20821256038647343,0.0741115195951295,0.06898691032440123,0.4476805874222757,0.43052455118214694
53,proposed_safe_trigger,2070,0.15254279076908822,0.08715640718260524,0.22608695652173913,0.027130434782608695,0.1570048309178744,0.07841118666290696,0.06645012542183122,0.4630540228475495,0.4226958978847051
53,direct_risk_trigger,2070,0.15123522251189955,0.08628143653476657,0.2314009661835749,0.027768115942028986,0.16280193236714977,0.07841118666290696,0.06655265340052013,0.4630540228475495,0.4231010565630603
53,ewma_persistence_trigger,2070,0.05799008212165225,0.03753146087540591,0.22608695652173913,0.027130434782608695,0.20434782608695654,0.07841118666290696,0.07386411550906878,0.4630540228475495,0.44567492890584737
53,static_utilization_trigger,2070,0.1384317528282294,0.08392479779892288,0.22801932367149758,0.027362318840579707,0.1753623188405797,0.07841118666290696,0.06755658865181927,0.4630540228475495,0.4241923076100911
53,random_trigger,2070,0.05932555064829516,0.04291627910100911,0.23285024154589373,0.027942028985507246,0.21014492753623187,0.07841118666290696,0.07375939983714375,0.4630540228475495,0.443181467164179
59,proposed_safe_trigger,2070,0.15259477255180182,0.09267845673757988,0.21497584541062803,0.025797101449275363,0.14541062801932367,0.07370984122579403,0.06246210476911457,0.4680102085380909,0.4246357446733477
59,direct_risk_trigger,2070,0.1441109774131166,0.08229399665084743,0.22367149758454105,0.026840579710144925,0.15507246376811595,0.07370984122579403,0.06308744396177922,0.4680102085380909,0.42949577800409483
