seed,scenario,method,delay_mae,risk_mae,coverage,auroc,recall_at_10
67,drift_strong,learned_descriptor,0.43913211852966494,0.9920303395484892,0.78,0.8067555555555556,0.48
67,drift_strong,observable_descriptor,0.6083561540378373,1.2664734394269108,0.876,0.8915555555555555,0.44
71,overall,learned_descriptor,0.01951864378415058,0.07900572257324123,0.944,0.8263111111111111,0.4
71,overall,observable_descriptor,0.022828650489238596,0.08079002974028579,0.948,0.8396444444444444,0.36
71,load_high,learned_descriptor,0.12906799884535666,0.4747214448823046,0.688,0.7320888888888889,0.12
71,load_high,observable_descriptor,0.2302330628557811,0.6960445779924994,0.892,0.8232888888888888,0.36
71,vacation_high,learned_descriptor,0.040477626929891306,0.15768937890286414,0.976,0.9182222222222223,0.6
71,vacation_high,observable_descriptor,0.047155887693046704,0.15680722275096526,0.992,0.9244444444444444,0.64
71,drift_strong,learned_descriptor,0.6704346969405378,1.3857974195523253,0.712,0.8851555555555556,0.48
71,drift_strong,observable_descriptor,0.7093898131679152,1.4002045749571836,0.856,0.9283555555555556,0.6
73,overall,learned_descriptor,0.015729553494334827,0.05795400106662013,0.992,0.8766222222222222,0.44
73,overall,observable_descriptor,0.016853714703891,0.053936787791013394,0.984,0.8759111111111111,0.44
73,load_high,learned_descriptor,0.13731573099275682,0.48696044131004274,0.664,0.8528,0.32
73,load_high,observable_descriptor,0.22409750908344755,0.709453007374171,0.9,0.8855111111111111,0.56
73,vacation_high,learned_descriptor,0.04343545784909602,0.16906632355585188,0.936,0.8316444444444444,0.32
73,vacation_high,observable_descriptor,0.03962544180096164,0.14505707229730277,0.976,0.8709333333333333,0.52
73,drift_strong,learned_descriptor,0.5969627171755396,1.2608334038070435,0.708,0.8600888888888889,0.56
73,drift_strong,observable_descriptor,0.6825017096691091,1.3707017078614256,0.876,0.8858666666666667,0.44
79,overall,learned_descriptor,0.01775856849818574,0.06312430704099274,0.944,0.8424888888888888,0.32
79,overall,observable_descriptor,0.019664815533734288,0.06116437402270284,0.948,0.8496,0.4
79,load_high,learned_descriptor,0.14800157830140726,0.5262261842775858,0.608,0.824,0.32
79,load_high,observable_descriptor,0.24172894901853073,0.7326824295226037,0.88,0.9018666666666667,0.56
79,vacation_high,learned_descriptor,0.047934725672843514,0.17653113158940306,0.912,0.8549333333333333,0.4
79,vacation_high,observable_descriptor,0.044512365131645866,0.15562159217846308,0.968,0.8590222222222222,0.44
